"","neighborhood","building_class_category","tax_class_at_present","building_class_at_present","residential_units","commercial_units","total_units","land_square_feet","gross_square_feet","year_built","tax_class_at_time_of_sale","building_class_at_time_of_sale","sale_price","sale_date","latitude","longitude"
"968","UPPER EAST SIDE (59-79)","01 ONE FAMILY DWELLINGS","1","A7",1,0,1,1256,5200,1925,"1","A7",9100000,2022-02-10,40.7692,-73.9658
"969","UPPER EAST SIDE (59-79)","01 ONE FAMILY DWELLINGS","1","A7",1,0,1,1908,4750,1910,"1","A7",7900000,2022-06-16,40.76402,-73.9682
"970","UPPER EAST SIDE (59-79)","01 ONE FAMILY DWELLINGS","1","A4",1,0,1,2007,6375,1899,"1","A4",14025000,2022-08-12,40.76354,-73.96588
"971","UPPER EAST SIDE (59-79)","01 ONE FAMILY DWELLINGS","1","A4",1,0,1,2000,4500,1915,"1","A4",11200000,2022-10-07,40.76552,-73.96668
"972","UPPER EAST SIDE (59-79)","01 ONE FAMILY DWELLINGS","1","A4",1,0,1,1607,3988,1899,"1","A4",6166125,2022-06-13,40.76524,-73.96506
"973","UPPER EAST SIDE (59-79)","01 ONE FAMILY DWELLINGS","1","A4",1,0,1,2007,4096,1899,"1","A4",4541171,2022-06-15,40.76562,-73.96502
"974","UPPER EAST SIDE (59-79)","01 ONE FAMILY DWELLINGS","1","A4",1,0,1,2007,7006,1910,"1","A4",1.7e+07,2022-06-30,40.76621,-73.96649
"975","UPPER EAST SIDE (59-79)","01 ONE FAMILY DWELLINGS","1","A4",1,0,1,2007,5913,1901,"1","A4",12800000,2022-07-18,40.76891,-73.96401
"976","UPPER EAST SIDE (59-79)","01 ONE FAMILY DWELLINGS","1","A4",1,0,1,1674,3520,1880,"1","A4",6900000,2022-08-29,40.76848,-73.96314
"977","UPPER EAST SIDE (59-79)","01 ONE FAMILY DWELLINGS","1","A4",1,0,1,1820,5034,1920,"1","A4",6e+06,2022-02-25,40.76908,-73.96266
"978","UPPER EAST SIDE (59-79)","01 ONE FAMILY DWELLINGS","1","S1",1,1,2,2577,7220,1910,"1","S1",16300000,2022-10-21,40.769,-73.96233
"979","UPPER EAST SIDE (59-79)","01 ONE FAMILY DWELLINGS","1","A4",1,0,1,2043,5619,1910,"1","A4",14425000,2021-12-13,40.77018,-73.96328
"980","UPPER EAST SIDE (59-79)","01 ONE FAMILY DWELLINGS","1","A4",1,0,1,1916,5885,1920,"1","A4",7700000,2022-01-18,40.77048,-73.9616
"981","UPPER EAST SIDE (59-79)","01 ONE FAMILY DWELLINGS","1","A4",1,0,1,2008,4600,1910,"1","A4",7287500,2022-02-03,40.76211,-73.96452
"982","UPPER EAST SIDE (59-79)","01 ONE FAMILY DWELLINGS","1","A7",1,0,1,1707,3400,1910,"1","A7",7580000,2021-12-23,40.76236,-73.96518
"983","UPPER EAST SIDE (59-79)","01 ONE FAMILY DWELLINGS","1","A4",1,0,1,1808,4439,1905,"1","A4",10350000,2022-03-04,40.76268,-73.96488
"984","UPPER EAST SIDE (59-79)","01 ONE FAMILY DWELLINGS","1","A4",1,0,1,1883,4138,1905,"1","A4",8e+06,2021-12-15,40.76291,-73.96447
"985","UPPER EAST SIDE (59-79)","01 ONE FAMILY DWELLINGS","1","A4",1,0,1,1667,4600,1899,"1","A4",5935000,2022-01-04,40.76636,-73.96102
"986","UPPER EAST SIDE (59-79)","01 ONE FAMILY DWELLINGS","1","S1",1,1,2,1817,5180,1899,"1","S1",7950000,2022-07-18,40.76645,-73.96123
"987","UPPER EAST SIDE (59-79)","01 ONE FAMILY DWELLINGS","1","A4",1,0,1,1788,4413,1899,"1","A4",8250000,2022-03-31,40.7693,-73.95898
"988","UPPER EAST SIDE (59-79)","02 TWO FAMILY DWELLINGS","1","S2",2,1,3,2307,9345,1899,"1","S2",27500000,2022-05-05,40.77252,-73.96562
"989","UPPER EAST SIDE (59-79)","02 TWO FAMILY DWELLINGS","1","B9",2,0,2,1908,6850,1900,"1","B9",17300000,2022-05-04,40.76395,-73.96785
"990","UPPER EAST SIDE (59-79)","02 TWO FAMILY DWELLINGS","1","B3",2,0,2,2008,6901,1910,"1","B3",1.6e+07,2022-05-20,40.76616,-73.96643
"991","UPPER EAST SIDE (59-79)","02 TWO FAMILY DWELLINGS","1","B1",2,0,2,1533,3240,1910,"1","B1",1757500,2022-04-20,40.76959,-73.96188
"992","UPPER EAST SIDE (59-79)","02 TWO FAMILY DWELLINGS","1","B3",2,0,2,1413,2600,1899,"1","B3",4200000,2022-01-14,40.7732,-73.95638
"993","UPPER EAST SIDE (59-79)","02 TWO FAMILY DWELLINGS","1","B9",2,0,2,1289,1512,1899,"1","B9",4200000,2022-04-28,40.76596,-73.95804
"994","UPPER EAST SIDE (59-79)","03 THREE FAMILY DWELLINGS","1","C0",3,0,3,2238,8221,1910,"1","C0",2.7e+07,2022-07-15,40.77454,-73.96447
"995","UPPER EAST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","2B","C5",8,2,10,2758,13310,1920,"2","C5",32200000,2022-03-02,40.77179,-73.9648
"996","UPPER EAST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","2B","C5",9,0,9,2043,6627,1925,"2","C5",8500000,2021-12-17,40.77321,-73.96349
"997","UPPER EAST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","2B","C5",9,0,9,1737,5000,1910,"2","C5",4400000,2022-05-19,40.77339,-73.9627
"998","UPPER EAST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","2","C7",16,1,17,2625,9190,1920,"2","C7",11200800,2022-07-12,40.76266,-73.96619
"999","UPPER EAST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","2","C7",9,2,11,2720,7910,1900,"2","C7",12799200,2022-07-12,40.76271,-73.96613
"1000","UPPER EAST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","2B","C7",9,1,10,2000,4320,1910,"2","C7",6.1e+07,2022-04-29,40.77135,-73.9588
"1001","UPPER EAST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","2B","C4",6,1,7,1500,5800,1910,"2","C4",4900000,2022-01-31,40.77129,-73.95911
"1002","UPPER EAST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","2","C7",32,6,38,10900,35235,1930,"2","C7",63581367,2021-12-03,40.77222,-73.95617
"1003","UPPER EAST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","2","C7",14,3,17,2500,11430,1910,"2","C7",9018634,2021-12-03,40.77233,-73.9564
"1004","UPPER EAST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","2","C7",16,2,18,2275,9000,1910,"2","C7",19800000,2022-05-13,40.76075,-73.96149
"1005","UPPER EAST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","2","C7",16,2,18,2275,9000,1910,"2","C7",18400000,2022-05-13,40.76082,-73.96145
"1006","UPPER EAST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","2","C5",56,0,56,5355,21340,1910,"2","C5",14400000,2021-11-09,40.76115,-73.96246
"1007","UPPER EAST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","2","C7",16,2,18,3150,13900,1910,"2","C7",5e+06,2021-12-20,40.76122,-73.96103
"1008","UPPER EAST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","2","C4",64,0,64,10042,28160,1920,"2","C4",14750000,2022-04-29,40.76685,-73.95829
"1009","UPPER EAST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","2","C1",17,0,17,2554,6016,1910,"2","C1",9500000,2021-11-09,40.76929,-73.95694
"1010","UPPER EAST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","2","C1",17,0,17,2554,6016,1910,"2","C1",9500000,2021-11-09,40.76926,-73.95686
"1011","UPPER EAST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","2","C4",20,0,20,2554,5516,1910,"2","C4",5133956,2022-07-07,40.76953,-73.95654
"1012","UPPER EAST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","2","C5",20,0,20,2554,8395,1910,"2","C5",5283970,2022-07-07,40.76962,-73.95659
"1013","UPPER EAST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","2B","C1",7,0,7,2500,3000,1910,"2","C1",73500000,2022-01-06,40.77167,-73.95337
"1014","UPPER EAST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","2","C5",16,0,16,2554,7176,1910,"2","C5",4e+06,2022-07-08,40.7724,-73.95447
"1015","UPPER EAST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","2B","C4",10,0,10,2043,6015,1910,"2","C4",3450000,2022-07-08,40.77272,-73.95418
"1016","UPPER EAST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","2","C4",20,1,21,2554,10145,1910,"2","C4",4500000,2021-12-30,40.76782,-73.95424
"1017","UPPER EAST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","2B","C4",10,0,10,2554,9015,1910,"2","C4",4900000,2022-06-09,40.77034,-73.9525
"1018","UPPER EAST SIDE (59-79)","07 RENTALS - WALKUP APARTMENTS","2","C7",12,1,13,1711,6000,1910,"2","C7",4900000,2021-11-09,40.77078,-73.95133
"1019","UPPER EAST SIDE (59-79)","08 RENTALS - ELEVATOR APARTMENTS","2B","D1",10,0,10,2512,11875,1900,"2","D1",15500000,2022-07-28,40.76668,-73.97038
"1020","UPPER EAST SIDE (59-79)","08 RENTALS - ELEVATOR APARTMENTS","2","D7",15,10,25,4519,19975,1910,"2","D7",24500000,2021-12-28,40.76967,-73.96773
"1021","UPPER EAST SIDE (59-79)","08 RENTALS - ELEVATOR APARTMENTS","2B","D7",7,1,8,1617,7206,1910,"2","D7",9267000,2022-07-28,40.7725,-73.96548
"1022","UPPER EAST SIDE (59-79)","08 RENTALS - ELEVATOR APARTMENTS","2","D1",20,0,20,3576,12321,1910,"2","D1",2.5e+07,2021-12-22,40.77226,-73.96391
"1023","UPPER EAST SIDE (59-79)","08 RENTALS - ELEVATOR APARTMENTS","2","D3",90,0,90,13281,82065,1937,"2","D3",49140000,2022-05-26,40.77185,-73.95704
"1024","UPPER EAST SIDE (59-79)","08 RENTALS - ELEVATOR APARTMENTS","2","D7",14,2,16,6225,66237,1900,"2","D7",3.5e+07,2021-12-20,40.76183,-73.96276
"1025","UPPER EAST SIDE (59-79)","08 RENTALS - ELEVATOR APARTMENTS","2","D1",90,0,90,17574,70992,1949,"2","D1",10976184,2021-11-09,40.76232,-73.96128
"1026","UPPER EAST SIDE (59-79)","08 RENTALS - ELEVATOR APARTMENTS","2","D5",15,0,15,2554,10622,1910,"2","D5",1e+07,2022-06-30,40.77146,-73.95217
"1027","UPPER EAST SIDE (59-79)","11 SPECIAL CONDO BILLING LOTS","2","RR",34,0,34,0,25972,1930,"2","RR",43250000,2021-12-22,40.76918,-73.96066
"1028","UPPER EAST SIDE (59-79)","11 SPECIAL CONDO BILLING LOTS","2","RR",52,0,52,8508,32402,1900,"2","RR",18650000,2022-05-19,40.76586,-73.95707
"1029","UPPER EAST SIDE (59-79)","14 RENTALS - 4-10 UNIT","2B","S5",6,1,7,1361,4340,1910,"2","S5",5820000,2022-09-23,40.77068,-73.95732
"1030","UPPER EAST SIDE (59-79)","21 OFFICE BUILDINGS","4","O4",0,34,34,9038,164615,1971,"4","O4",196592300,2022-04-29,40.76389,-73.97086
"1031","UPPER EAST SIDE (59-79)","21 OFFICE BUILDINGS","4","O7",0,1,1,5108,30073,1931,"4","O7",57333939,2021-12-22,40.7698,-73.95217
"1032","UPPER EAST SIDE (59-79)","21 OFFICE BUILDINGS","4","O5",0,2,2,2554,7512,1920,"4","O5",57333939,2021-12-22,40.76722,-73.9519
"1033","UPPER EAST SIDE (59-79)","21 OFFICE BUILDINGS","4","O2",0,1,1,2554,5000,1920,"4","O2",57333939,2021-12-22,40.76753,-73.95167
"1034","UPPER EAST SIDE (59-79)","22 STORE BUILDINGS","4","K4",2,1,3,2109,9765,1910,"4","K4",16500000,2022-05-18,40.7644,-73.97008
"1035","UPPER EAST SIDE (59-79)","22 STORE BUILDINGS","4","K4",0,4,4,2124,7674,1910,"4","K4",1.7e+07,2021-12-15,40.76967,-73.96728
"1036","UPPER EAST SIDE (59-79)","22 STORE BUILDINGS","4","K4",6,3,9,2592,9302,1900,"4","K4",17500000,2022-10-20,40.77002,-73.96646
"1037","UPPER EAST SIDE (59-79)","22 STORE BUILDINGS","4","K4",0,8,8,2025,8505,1910,"4","K4",1.7e+07,2022-01-28,40.76993,-73.96662
"1038","UPPER EAST SIDE (59-79)","22 STORE BUILDINGS","4","K4",1,1,2,1700,5550,1900,"4","K4",9750000,2022-07-12,40.76277,-73.96606
"1039","UPPER EAST SIDE (59-79)","22 STORE BUILDINGS","4","K2",0,1,1,1300,2100,1910,"4","K2",3e+06,2022-02-03,40.76389,-73.96733
"1040","UPPER EAST SIDE (59-79)","22 STORE BUILDINGS","4","K4",3,1,4,1278,3688,1910,"4","K4",4950000,2022-08-19,40.77171,-73.96162
"1041","UPPER EAST SIDE (59-79)","22 STORE BUILDINGS","4","K4",6,2,8,2550,7937,1910,"4","K4",73500000,2022-01-06,40.77153,-73.95373
"1042","UPPER EAST SIDE (59-79)","22 STORE BUILDINGS","4","K2",0,3,3,3678,6910,1895,"4","K2",6e+06,2022-03-30,40.76906,-73.95348
"1043","UPPER EAST SIDE (59-79)","22 STORE BUILDINGS","4","K4",0,4,4,3831,6996,1910,"4","K4",5750000,2022-04-19,40.76926,-73.95378
"1044","UPPER EAST SIDE (59-79)","25 LUXURY HOTELS","4","H1",0,259,259,18803,294142,1930,"4","H1",2350000,2021-11-01,40.77442,-73.96316
"1045","UPPER EAST SIDE (59-79)","25 LUXURY HOTELS","4","H1",0,259,259,18803,294142,1930,"4","H1",1200000,2021-12-08,40.77442,-73.96316
"1046","UPPER EAST SIDE (59-79)","25 LUXURY HOTELS","4","H1",0,259,259,18802,294142,1930,"4","H1",5750000,2022-08-15,40.77442,-73.96316
"1047","UPPER EAST SIDE (59-79)","25 LUXURY HOTELS","4","H1",0,259,259,18803,294142,1930,"4","H1",2250000,2022-02-01,40.77442,-73.96316
"1048","UPPER EAST SIDE (59-79)","25 LUXURY HOTELS","4","H1",0,259,259,18802,294142,1930,"4","H1",577300,2022-06-30,40.77442,-73.96316
"1049","UPPER EAST SIDE (59-79)","26 OTHER HOTELS","4","H7",0,4,4,27113,515755,1930,"4","H7",5250000,2021-12-10,40.76503,-73.97167
"1050","UPPER EAST SIDE (59-79)","26 OTHER HOTELS","4","H7",0,4,4,27113,515755,1930,"4","H7",2550000,2022-05-17,40.76521,-73.97199
"1051","UPPER EAST SIDE (59-79)","26 OTHER HOTELS","4","H7",0,4,4,27113,515755,1930,"4","H7",5560000,2022-01-06,40.76521,-73.97199
"1052","UPPER EAST SIDE (59-79)","26 OTHER HOTELS","4","H7",0,4,4,27113,515755,1930,"4","H7",2200000,2022-09-22,40.76521,-73.97199
"1053","UPPER EAST SIDE (59-79)","26 OTHER HOTELS","4","HS",0,1,1,12552,109921,1963,"4","HS",71634308,2022-04-26,40.76442,-73.96303
"1054","UPPER EAST SIDE (59-79)","29 COMMERCIAL GARAGES","4","G2",0,2,2,7663,7663,1920,"4","G2",57333939,2021-12-22,40.76727,-73.95211
"1055","UPPER EAST SIDE (59-79)","29 COMMERCIAL GARAGES","4","G2",0,2,2,10217,20434,1910,"4","G2",57333939,2021-12-22,40.76758,-73.95188
"1056","UPPER EAST SIDE (59-79)","30 WAREHOUSES","4","E7",0,3,3,25575,177920,1963,"4","E7",326900000,2021-12-16,40.76087,-73.95973
"1057","UPPER EAST SIDE (59-79)","31 COMMERCIAL VACANT LAND","4","V1",0,0,0,2200,0,1915,"4","V1",6.1e+07,2022-04-29,40.77123,-73.9592
"1058","UPPER EAST SIDE (59-79)","31 COMMERCIAL VACANT LAND","4","V1",0,0,0,2500,0,1910,"4","V1",73500000,2022-01-06,40.77163,-73.95362
"1059","UPPER EAST SIDE (59-79)","34 THEATRES","4","J8",0,6,6,10821,65000,1910,"4","J8",34100000,2021-12-16,40.76119,-73.96037
"1060","UPPER EAST SIDE (59-79)","41 TAX CLASS 4 - OTHER","4","Z4",0,1,1,3649,17612,1910,"4","Z4",5e+07,2022-09-27,40.76887,-73.96925
"1061","UPPER EAST SIDE (79-96)","01 ONE FAMILY DWELLINGS","1","A4",1,0,1,1634,5236,1899,"1","A4",11500000,2022-10-27,40.77716,-73.96063
"1062","UPPER EAST SIDE (79-96)","01 ONE FAMILY DWELLINGS","1","A4",1,0,1,1992,6400,1923,"1","A4",21750000,2021-12-22,40.7784,-73.95953
"1063","UPPER EAST SIDE (79-96)","01 ONE FAMILY DWELLINGS","1","A4",1,0,1,2559,9780,1901,"1","A4",26500000,2022-05-26,40.78256,-73.95837
"1064","UPPER EAST SIDE (79-96)","01 ONE FAMILY DWELLINGS","1","A4",1,0,1,1845,5425,1901,"1","A4",9450000,2022-06-14,40.78374,-73.95623
"1065","UPPER EAST SIDE (79-96)","01 ONE FAMILY DWELLINGS","1","A4",1,0,1,2014,5941,1920,"1","A4",1.6e+07,2022-01-19,40.78499,-73.95629
"1066","UPPER EAST SIDE (79-96)","01 ONE FAMILY DWELLINGS","1","A4",1,0,1,1510,2214,1901,"1","A4",7e+06,2022-10-07,40.78512,-73.95471
"1067","UPPER EAST SIDE (79-96)","01 ONE FAMILY DWELLINGS","1","A4",1,0,1,2215,6956,1901,"1","A4",19999990,2022-01-18,40.7851,-73.95453
"1068","UPPER EAST SIDE (79-96)","01 ONE FAMILY DWELLINGS","1","A7",1,0,1,2542,4300,1901,"1","A7",19999990,2022-01-18,40.78506,-73.95447
"1069","UPPER EAST SIDE (79-96)","01 ONE FAMILY DWELLINGS","1","A4",1,0,1,2043,3958,1920,"1","A4",13250000,2022-02-18,40.77674,-73.95864
"1070","UPPER EAST SIDE (79-96)","01 ONE FAMILY DWELLINGS","1","S1",1,1,2,1120,3364,1915,"1","S1",5300000,2022-06-08,40.78336,-73.95445
"1071","UPPER EAST SIDE (79-96)","01 ONE FAMILY DWELLINGS","1","A9",1,0,1,1888,3564,1899,"1","A9",8200000,2022-04-22,40.78443,-73.95108
"1072","UPPER EAST SIDE (79-96)","01 ONE FAMILY DWELLINGS","1","A9",1,0,1,1601,3000,1899,"1","A9",4800000,2021-12-08,40.77519,-73.94902
"1073","UPPER EAST SIDE (79-96)","01 ONE FAMILY DWELLINGS","1","A9",1,0,1,1984,3800,1901,"1","A9",7250000,2022-02-16,40.77436,-73.94706
"1074","UPPER EAST SIDE (79-96)","01 ONE FAMILY DWELLINGS","1","A4",1,0,1,1116,3168,1899,"1","A4",3950000,2022-08-31,40.77589,-73.94532
"1075","UPPER EAST SIDE (79-96)","01 ONE FAMILY DWELLINGS","1","A4",1,0,1,804,2448,1899,"1","A4",4740000,2022-09-01,40.77545,-73.94489
"1076","UPPER EAST SIDE (79-96)","01 ONE FAMILY DWELLINGS","1","A4",1,0,1,998,3813,1890,"1","A4",7521000,2022-09-01,40.7753,-73.94479
"1077","UPPER EAST SIDE (79-96)","01 ONE FAMILY DWELLINGS","1","A4",1,0,1,692,2432,1899,"1","A4",5800000,2022-05-23,40.77561,-73.94457
"1078","UPPER EAST SIDE (79-96)","01 ONE FAMILY DWELLINGS","1","A4",1,0,1,1079,4122,1899,"1","A4",7e+06,2022-06-30,40.77569,-73.94483
"1079","UPPER EAST SIDE (79-96)","01 ONE FAMILY DWELLINGS","1","A4",1,0,1,1888,2736,1901,"1","A4",6400000,2022-05-11,40.77743,-73.94514
"1080","UPPER EAST SIDE (79-96)","02 TWO FAMILY DWELLINGS","1","B1",2,0,2,2013,4840,1899,"1","B1",12850000,2021-12-30,40.78517,-73.95675
"1081","UPPER EAST SIDE (79-96)","02 TWO FAMILY DWELLINGS","1","B1",2,0,2,929,4829,2012,"1","B1",8500000,2022-02-24,40.78389,-73.95061
"1082","UPPER EAST SIDE (79-96)","03 THREE FAMILY DWELLINGS","1","C0",3,0,3,2013,4862,1899,"1","C0",11400000,2022-02-28,40.78496,-73.9572
"1083","UPPER EAST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2B","C7",8,1,9,1136,4400,1920,"2","C7",21122468,2022-04-21,40.77948,-73.9601
"1084","UPPER EAST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2A","C2",6,0,6,2121,6710,1920,"2","C2",10862500,2022-06-16,40.78621,-73.95529
"1085","UPPER EAST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2","C7",12,2,14,2729,8180,1923,"2","C7",16666667,2022-10-11,40.77521,-73.95693
"1086","UPPER EAST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2","C7",12,2,14,2729,9240,1925,"2","C7",16666667,2022-10-11,40.77529,-73.95688
"1087","UPPER EAST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2","C7",12,2,14,3269,11925,1915,"2","C7",560000,2021-11-04,40.77941,-73.95603
"1088","UPPER EAST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2B","C1",8,0,8,2104,5404,1910,"2","C1",5750000,2022-06-28,40.78107,-73.95375
"1089","UPPER EAST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2","C4",14,0,14,2517,9855,1920,"2","C4",11650000,2022-03-17,40.78125,-73.95323
"1090","UPPER EAST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2","C4",12,0,12,2517,9855,1920,"2","C4",11650000,2022-03-17,40.78126,-73.95327
"1091","UPPER EAST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2","C4",29,0,29,4295,17492,1910,"2","C4",4.5e+07,2021-12-31,40.78323,-73.95203
"1092","UPPER EAST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2","C7",28,2,30,4295,17492,1910,"2","C7",4.5e+07,2021-12-31,40.78317,-73.95189
"1093","UPPER EAST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2","C7",28,2,30,4295,17492,1910,"2","C7",4.5e+07,2021-12-31,40.78312,-73.95176
"1094","UPPER EAST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2","C7",16,1,17,2533,10845,1905,"2","C7",6725000,2022-08-16,40.78378,-73.9507
"1095","UPPER EAST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2A","C2",5,0,5,1379,4320,1920,"2","C2",5118750,2022-06-15,40.78562,-73.95277
"1096","UPPER EAST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2","C7",12,2,14,2626,9869,1930,"2","C7",9250000,2022-03-14,40.77553,-73.95584
"1097","UPPER EAST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2A","C3",4,0,4,1737,4388,1925,"2","C3",4350000,2022-01-20,40.77677,-73.95363
"1098","UPPER EAST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2","C7",15,1,16,2542,9767,1920,"2","C7",6675000,2022-04-29,40.77769,-73.95451
"1099","UPPER EAST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2B","C7",9,1,10,1657,7285,1910,"2","C7",4512500,2022-07-15,40.78016,-73.9526
"1100","UPPER EAST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2","C7",11,1,12,1856,10275,1920,"2","C7",4512500,2022-07-15,40.78016,-73.95263
"1101","UPPER EAST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2","C1",20,0,20,2554,9880,1920,"2","C1",6e+06,2022-02-08,40.77563,-73.95191
"1102","UPPER EAST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2","C1",20,0,20,5108,16840,1910,"2","C1",9e+06,2022-01-31,40.77596,-73.95185
"1103","UPPER EAST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2B","C4",10,0,10,2617,8890,1920,"2","C4",1.9e+07,2022-01-14,40.77905,-73.94887
"1104","UPPER EAST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2B","C4",10,0,10,2517,8890,1920,"2","C4",1.9e+07,2022-01-14,40.77911,-73.94896
"1105","UPPER EAST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2B","C4",10,0,10,2517,8890,1920,"2","C4",1.9e+07,2022-01-14,40.77905,-73.9491
"1106","UPPER EAST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2","C1",20,0,20,2518,9165,1920,"2","C1",7e+06,2021-11-09,40.77938,-73.94979
"1107","UPPER EAST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2","C1",11,0,11,2518,8170,1920,"2","C1",7750000,2022-03-28,40.77952,-73.94923
"1108","UPPER EAST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2","C1",11,0,11,2518,8270,1920,"2","C1",7750000,2022-03-28,40.77951,-73.94914
"1109","UPPER EAST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2B","C4",10,0,10,2517,8090,1920,"2","C4",1.9e+07,2022-01-14,40.77929,-73.94868
"1110","UPPER EAST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2B","C7",8,2,10,2515,8648,1920,"2","C7",2356000,2022-09-21,40.78252,-73.94749
"1111","UPPER EAST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2","C1",20,0,20,2555,9295,1925,"2","C1",5882074,2022-07-07,40.77287,-73.95121
"1112","UPPER EAST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2","C7",17,2,19,2000,8050,1920,"2","C7",5600000,2021-11-09,40.77444,-73.95088
"1113","UPPER EAST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2","C1",25,0,25,4027,16244,1920,"2","C1",1.2e+07,2022-01-05,40.77767,-73.94675
"1114","UPPER EAST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2","C1",20,0,20,2517,8935,1910,"2","C1",6625000,2021-11-09,40.77661,-73.94525
"1115","UPPER EAST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2","C1",36,0,36,5033,17870,1900,"2","C1",13250000,2021-11-09,40.77674,-73.94535
"1116","UPPER EAST SIDE (79-96)","07 RENTALS - WALKUP APARTMENTS","2","C1",20,0,20,2517,8936,1910,"2","C1",6625000,2021-11-09,40.77673,-73.94558
"1117","UPPER EAST SIDE (79-96)","08 RENTALS - ELEVATOR APARTMENTS","2","D6",46,1,47,10384,102053,1969,"2","D6",10597190,2022-05-20,40.77731,-73.96312
"1118","UPPER EAST SIDE (79-96)","08 RENTALS - ELEVATOR APARTMENTS","2","D6",13,1,14,5625,62141,2019,"2","D6",10500000,2022-05-16,40.78258,-73.95783
"1119","UPPER EAST SIDE (79-96)","08 RENTALS - ELEVATOR APARTMENTS","2","D6",13,1,14,5624,62141,2019,"2","D6",9765000,2022-10-26,40.78258,-73.95783
"1120","UPPER EAST SIDE (79-96)","08 RENTALS - ELEVATOR APARTMENTS","2","D6",13,1,14,5625,62141,2019,"2","D6",9804000,2022-04-29,40.78258,-73.95783
"1121","UPPER EAST SIDE (79-96)","08 RENTALS - ELEVATOR APARTMENTS","2","D6",13,1,14,5625,62141,2019,"2","D6",8700000,2022-04-25,40.78258,-73.95783
"1122","UPPER EAST SIDE (79-96)","08 RENTALS - ELEVATOR APARTMENTS","2","D6",13,1,14,5624,62141,2019,"2","D6",6975000,2022-10-26,40.78258,-73.95783
"1123","UPPER EAST SIDE (79-96)","08 RENTALS - ELEVATOR APARTMENTS","2","D6",13,1,14,5624,62141,2019,"2","D6",19725000,2022-06-15,40.78258,-73.95783
"1124","UPPER EAST SIDE (79-96)","08 RENTALS - ELEVATOR APARTMENTS","2","D6",13,1,14,5624,62141,2019,"2","D6",24750000,2022-06-07,40.78258,-73.95783
