"","neighborhood","building_class_category","tax_class_at_present","building_class_at_present","residential_units","commercial_units","total_units","land_square_feet","gross_square_feet","year_built","tax_class_at_time_of_sale","building_class_at_time_of_sale","sale_price","sale_date","latitude","longitude"
"840","SOHO","14 RENTALS - 4-10 UNIT","2A","S3",3,1,4,2516,7265,1920,"2","S3",9500000,2021-12-15,40.7216,-74.00144
"841","SOHO","14 RENTALS - 4-10 UNIT","2A","S4",4,1,5,2237,9713,1900,"2","S4",12907380,2022-01-04,40.72196,-73.99933
"842","SOHO","14 RENTALS - 4-10 UNIT","2A","S4",4,1,5,2258,9738,1900,"2","S4",1e+07,2022-03-03,40.723,-74.0007
"843","SOHO","14 RENTALS - 4-10 UNIT","2A","S3",3,1,4,2397,12545,1900,"2","S3",4e+06,2022-08-22,40.72449,-74.00222
"844","SOHO","14 RENTALS - 4-10 UNIT","2A","S9",3,2,5,2533,11165,1920,"2","S9",3162500,2022-04-06,40.72617,-74.00204
"845","SOHO","14 RENTALS - 4-10 UNIT","2A","S3",3,1,4,1120,5625,1910,"2","S3",21051758,2022-08-31,40.72439,-74.01007
"846","SOHO","21 OFFICE BUILDINGS","4","O5",0,2,2,1650,7500,1915,"4","O5",8e+06,2022-08-10,40.72034,-74.00176
"847","SOHO","21 OFFICE BUILDINGS","4","O5",0,5,5,2191,6690,1900,"4","O5",16458214,2022-10-26,40.72287,-74.00304
"848","SOHO","21 OFFICE BUILDINGS","4","O5",0,12,12,11140,61040,1900,"4","O5",1.3e+08,2022-01-13,40.72354,-74.00261
"849","SOHO","21 OFFICE BUILDINGS","4","O9",14,21,35,8787,114488,1904,"4","O9",3850000,2022-07-06,40.72416,-73.99827
"850","SOHO","21 OFFICE BUILDINGS","4","O9",14,21,35,8787,114488,1904,"4","O9",2550000,2022-06-29,40.72416,-73.99827
"851","SOHO","21 OFFICE BUILDINGS","4","O9",14,21,35,8787,114488,1904,"4","O9",3100000,2022-06-06,40.72416,-73.99827
"852","SOHO","21 OFFICE BUILDINGS","4","O5",0,7,7,5333,24200,1900,"4","O5",3.9e+07,2022-01-20,40.72561,-73.99848
"853","SOHO","21 OFFICE BUILDINGS","4","O6",0,12,12,10143,120592,1928,"4","O6",8e+06,2021-12-21,40.72492,-74.00618
"854","SOHO","21 OFFICE BUILDINGS","4","O6",0,12,12,10143,120592,1928,"4","O6",9e+06,2022-01-26,40.72488,-74.00635
